RESIDENCE,BIRTHPLACE,NATIONALITY,EG_FGN_RESIDENT,ID_TYPE,CUSTOMER_SEGMENT,INDUSTRY,JOB_TITLE,INCOME_SOURCE,SEX,TITLE,AGE,CONTACT_DATE,ACCOUNT_SINCE,DATE_TIME_LOANS,LOAN_START_DATE,LOAN_END_DATE,CUSTOMER_TYPE,KYC_DATE,KYC_REMAINING_DAYS,KYC_YEARS_INT,KYC_RISK_RATE,KYC_RISK_CATEG,CUSTOMER_STATUS,CURRENCY,INTEREST_BASIS,LOAN_MONTHS,LOAN_AMOUNT,TOTAL_LOAN_AMOUNT,TOT_INTEREST_AMT,MONTHLY_PAYMENT,CONTRACT_TYPE,ISL&SME_REPAY_TYPE,HAS_CHRG,CHRG_CODE,INTEREST_RATE,LOAN_TYPE,LOAN_SUB_TYPE,POSTING_RESTRICT,TOTAL_MONTHLY_INCOME,JOINT_SEPARAT,MARITAL_STATUS,DTI,MONTHLY_PAYMENT_BURDEN,ANNUALIZED_PAYMENT_BURDEN,CUMULATIVE_INTEREST_PCT,EFFECTIVE_INTEREST_RATE,INTEREST_TO_INCOME_RATIO,INTEREST_COVERAGE,PAYMENT_TO_LOAN_RATIO,PRINCIPAL_SHARE_PER_MONTH,LOAN_TO_INCOME_EXPOSURE,TOTAL_COST_TO_INCOME_EXPOSURE,INTEREST_SHARE_TOTAL,PRINCIPAL_SHARE_TOTAL,PRINCIPAL_TO_INTEREST_RATIO,OVERDUE_STATUS
Alexandria,Alexandria,EG,EG,National ID,Mass,"Others (Goodwife, Non Adult ...)",Retired,Other,M,MR,53.51,2021-07-12,2021-07-12,2022-08-01,2021-09-30,2029-10-01,Normal,2021-07-12,319,5,LOW,Low Risk Customer,Non-Borrower,EGP,A,96,20000.0,34455.17819528806,14455.178195288065,358.9081062009173,AMORT,Monthly,1,Statement Charge for LD,15.0,Personal Loan,Per Loan sal-Salary-tr-Group deals,NO RESTRICTION,10833.0,,,3.180575851129702,0.03313099844926773,0.39757198139121275,0.7227589097644033,0.09034486372055041,0.16679564981177958,2.3835872328795897,0.017945405310045865,0.5804642740966904,0.019231360964952766,0.03313099844926773,0.4195357259033097,0.5804642740966904,1.38358723287959,CUR
Minya,Minya,EG,EG,National ID,Mass,"Others (Goodwife, Non Adult ...)",Others,Other,M,MR,29.49,2021-09-14,2021-09-14,2022-08-01,2021-11-03,2027-11-01,Normal,2021-09-14,383,5,LOW,Low Risk Customer,Non-Borrower,EGP,A,72,227000.0,336780.20609988814,109780.20609988814,4677.502862498446,AMORT,Monthly,1,Admin Charge on LD Retail,14.000000000000002,Auto Loan,Auto Loan-install-tr-Group deals,NO RESTRICTION,,,,,,,0.4836132427307847,0.08060220712179746,,3.0677680254439905,0.02060573948237201,0.6740301118904607,,,0.32596988810953936,0.6740301118904607,2.0677680254439905,CUR
Kuwait,Syria,SY,EG,Passport,Upper Privilege,"Others (Goodwife, Non Adult ...)",Employee,Equities or shares,M,MR,64.8,2010-10-28,2010-04-14,2024-07-31,2023-10-23,2029-10-22,Normal,2022-11-01,-299,2,HIGH,High-Low,Non-Borrower,EGP,B,72,5100000.0,9280882.666731209,4180882.666731207,128901.14814904451,AMORT,Demand,0,NO CHARGE,22.25,Personal Loan,Secured Personal Loans,KYC Update Needed,,JOINT,,,,,0.8197809150453348,0.13663015250755578,,2.2198381075323024,0.0252747349311852,0.5495166982642457,,,0.4504833017357543,0.5495166982642455,1.219838107532302,CUR
Menoufia,Menoufia,EG,EG,National ID,Thahabi,"Others (Goodwife, Non Adult ...)",Retired,Other,M,MR,53.86,2023-03-01,2023-03-01,2024-07-31,2023-12-18,2029-08-28,Normal,2023-03-01,917,5,LOW,Low Risk Customer,Non-Borrower,EGP,B,68,50000.0,87883.19614787603,37883.19614787604,1292.399943351118,AMORT,Demand,0,NO CHARGE,22.0,Personal Loan,Secured Personal Loans,NO RESTRICTION,,,MARRIED,,,,0.7576639229575208,0.13370539816897425,,2.319846398514696,0.02584799886702236,0.5689369776204755,,,0.43106302237952465,0.5689369776204755,1.319846398514696,CUR
Cairo,Cairo,EG,EG,National ID,Privilege,"Others (Goodwife, Non Adult ...)",House Wife,Other,F,MRS,57.5,2023-09-04,2023-09-04,2024-07-31,2024-02-26,2025-04-07,Normal,2023-09-04,738,4,MEDIUM,Low Risk Customer,Non-Borrower,EGP,B,13,340000.0,389483.1188088958,49483.118808895815,29960.239908376603,AMORT,Demand,0,NO CHARGE,24.0,Personal Loan,Secured Personal Loans,NO RESTRICTION,,SEPARATE,DIVORCED,,,,0.1455385847320465,0.13434330898342756,,7.871030124699347,0.08811835267169589,0.8729518266151728,,,0.12704817338482713,0.8729518266151729,6.871030124699347,CUR
Alexandria,Alexandria,EG,EG,National ID,Privilege,Governmental & Military Employees,Employee,Salary,F,MRS,51.76,2011-04-14,1980-01-01,2024-07-31,2023-06-21,2026-06-20,Normal,2021-02-22,-186,4,MEDIUM,Low Risk Customer,Low Risk,EGP,B,36,456500.0,619152.0566029736,162652.0566029736,17198.668238971488,AMORT,Demand,0,NO CHARGE,21.0,Personal Loan,Secured Personal Loans,ID Update Needed,,,,,,,0.3563024241028995,0.11876747470096649,,3.806604536912165,0.03767506733619165,0.7372986896056247,,,0.26270131039437533,0.7372986896056247,2.806604536912165,CUR
Dakahlia,Dakahlia,EG,EG,National ID,Mass,"Others (Goodwife, Non Adult ...)",Retired,Other,M,MR,63.12,2020-01-19,2020-01-19,2022-09-01,2021-10-05,2027-06-01,Normal,2020-01-19,-220,5,LOW,Low Risk Customer,Non-Borrower,EGP,A,68,160000.0,238459.594521306,78459.59452130593,3506.7587429603814,AMORT,Monthly,1,Statement Charge for LD,15.0,Personal Loan,Per Loan sal-Salary-tr-Group deals,KYC Update Needed,,,,,,,0.49037246575816207,0.08653631748673447,,3.0392662105404025,0.021917242143502384,0.670973211714089,,,0.32902678828591103,0.6709732117140887,2.0392662105404016,PDO
Cairo,Cairo,EG,EG,National ID,Mass,"Others (Goodwife, Non Adult ...)",Employee,Salary,M,MR,54.25,2021-04-12,2021-04-12,2022-09-15,2021-04-19,2026-04-15,Normal,2021-04-12,228,5,LOW,Low Risk Customer,Non-Borrower,EGP,A,60,300000.0,409555.3147960346,109555.3147960346,6825.921913267243,AMORT,Monthly,1,Admin Charge on LD Retail,13.0,Personal Loan,Per Loan-salaried-NO-sal-tr-non NBK,NO RESTRICTION,24360.0,,,16.812615549919318,0.280210259165322,3.3625231099838637,0.36518438265344866,0.07303687653068973,0.8994689227917454,3.738342731783731,0.022753073044224144,0.7325017870892605,0.20525451559934318,0.280210259165322,0.2674982129107395,0.7325017870892605,2.738342731783731,CUR
Giza,Giza,EG,EG,National ID,Mass,"Others (Goodwife, Non Adult ...)",Employee,Salary,F,MRS,33.11,2021-10-13,2021-10-13,2022-09-01,2021-10-28,2041-10-01,Normal,2021-10-13,412,5,LOW,Low Risk Customer,Non-Borrower,EGP,A,240,118664.0,220800.1749510671,102136.1749510671,920.0007289627796,AMORT,Monthly,1,Stamp Duty,7.000000000000001,Mortgage Loan,Mort Loan-CBE low incom 7%,NO RESTRICTION,10760.0,,,20.52046235604713,0.08550192648352971,1.0260231178023564,0.8607174454852955,0.04303587227426477,0.474610478397152,2.16182146097454,0.007752989356188731,0.5374271104010577,0.045951053283767036,0.08550192648352971,0.46257288959894227,0.5374271104010577,1.1618214609745399,CUR
Cairo,Cairo,EG,EG,National ID,Mass,"Others (Goodwife, Non Adult ...)",Employee,Salary,F,MRS,36.75,2021-10-14,2021-10-14,2022-09-29,2021-11-16,2026-12-01,Normal,2021-10-14,413,5,LOW,Low Risk Customer,Non-Borrower,EGP,A,60,245000.0,342043.2874859982,97043.28748599818,5700.72145809997,AMORT,Monthly,1,Stamp Duty,14.000000000000002,Auto Loan,AL-SALARIED DP > 50%,ID Update Needed,,,,,,,0.39609505096325787,0.07921901019265158,,3.524646540188054,0.02326825084938763,0.7162836078460662,,,0.2837163921539338,0.7162836078460662,2.524646540188054,CUR
Giza,Giza,EG,EG,National ID,Mass,"Others (Goodwife, Non Adult ...)",Employee,Salary,M,MR,40.92,2022-05-18,2022-05-18,2023-10-01,2022-05-30,2042-05-01,Normal,2022-05-18,629,5,LOW,Low Risk Customer,Non-Borrower,EGP,S,240,161992.0,301421.340429054,139429.340429054,1255.922251787725,AMORT,Demand,1,Stamp Duty,7.000000000000001,Mortgage Loan,Mort Loan-CBE low incom 7%,Dormant Accounts Debit Restriction,10760.0,,,28.01313572760725,0.11672139886503019,1.4006567863803623,0.8607174454852955,0.04303587227426477,0.6479058570123327,2.16182146097454,0.007752989356188731,0.5374271104010577,0.06272924411400248,0.1167213988650302,0.46257288959894227,0.5374271104010577,1.1618214609745399,CUR
Dakahlia,Dakahlia,EG,EG,National ID,Privilege,Professionals,Freelancer,Private business,M,MR,58.69,2011-12-04,2011-12-04,2024-07-28,2022-03-23,2025-03-28,Normal,2020-02-27,-547,4,MEDIUM,Low Risk Customer,Non-Borrower,EGP,A,36,450000.0,561578.3217679464,111578.32176794636,15599.397826887398,AMORT,Demand,1,Statement Charge for LD,15.0,Personal Loan,Secured Personal Loans,KYC Update Needed,,,,,,,0.2479518261509919,0.0826506087169973,,5.033041480368221,0.034665328504194216,0.8013129826367258,,,0.1986870173632742,0.8013129826367258,4.033041480368221,PDO
Cairo,Cairo,EG,EG,National ID,Thahabi,Governmental & Military Employees,Employee,Salary,M,MR,42.54,2020-03-11,2020-03-11,2023-10-01,2020-05-10,2040-05-01,Normal,2020-03-11,-169,5,LOW,Low Risk Customer,Non-Borrower,EGP,A,240,74975.0,118752.43571464556,43777.43571464557,494.8018154776899,AMORT,Monthly,1,Stamp Duty,5.0,Mortgage Loan,Mort Loan-CBE low incom 5%,ID Update Needed,10760.0,,,11.036471720691967,0.045985298836216534,0.5518235860345985,0.583893774119981,0.029194688705999047,0.2034267458858995,2.712640285481988,0.006599557392166587,0.6313554711430094,0.029033070012391575,0.04598529883621653,0.36864452885699056,0.6313554711430095,1.7126402854819887,CUR
Dakahlia,Dakahlia,EG,EG,National ID,Privilege,Professionals,Freelancer,Private business,M,MR,58.69,2022-02-20,2022-02-20,2024-07-25,2022-02-28,2026-02-27,Normal,2022-02-20,177,4,MEDIUM,Low Risk Customer,Non-Borrower,EGP,A,48,450000.0,579473.9113053252,129473.91130532522,12072.373152194275,AMORT,Demand,0,NO CHARGE,13.0,Personal Loan,Secured Personal Loans,NO RESTRICTION,,,,,,,0.28771980290072274,0.07192995072518069,,4.475603659943589,0.02682749589376506,0.776566453158052,,,0.22343354684194802,0.776566453158052,3.475603659943589,PDO
Dakahlia,Dakahlia,EG,EG,National ID,Privilege,Professionals,Freelancer,Private business,M,MR,45.85,2017-09-18,2017-09-18,2024-07-28,2023-09-27,2026-09-28,Normal,2022-10-16,415,4,MEDIUM,Low Risk Customer,Non-Borrower,EGP,B,36,470000.0,646182.4677736132,176182.46777361317,17949.512993711476,AMORT,Demand,1,Statement Charge for LD,22.0,Personal Loan,Secured Personal Loans,Dormant Accounts Debit Restriction,,,,,,,0.3748563144119429,0.12495210480398097,,3.6676888224992377,0.038190453178109526,0.7273487342040703,,,0.2726512657959297,0.7273487342040703,2.6676888224992377,PDO
Cairo,Cairo,EG,EG,National ID,Privilege,Professionals,Freelancer,Private business,M,MR,53.87,2020-07-21,2020-07-21,2024-07-25,2021-04-21,2031-04-20,Normal,2020-07-21,-402,4,MEDIUM,Low Risk Customer,Non-Borrower,EGP,A,120,540000.0,948517.5730010896,408517.5730010896,7904.313108342413,AMORT,Quarterly,0,NO CHARGE,12.5,Personal Loan,Secured Personal Loans,KYC Update Needed,,,,,,,0.7565140240760919,0.07565140240760919,,2.3218525607919434,0.014637616867300765,0.5693094312332574,,,0.43069056876674267,0.5693094312332574,1.3218525607919434,PDO
Dakahlia,Dakahlia,EG,EG,National ID,Thahabi,Governmental & Military Employees,Engineer,Salary,M,MR,58.36,2012-12-03,2012-12-03,2022-11-15,2022-01-19,2027-02-15,Normal,2022-10-16,780,5,LOW,Low Risk Customer,Marginally,EGP,A,61,159000.0,226919.5786815958,67919.5786815958,3719.993093140915,AMORT,Demand,1,Admin Charge on LD Retail,14.75,Personal Loan,Per-Loan sal-inst-tr Group deals,ID Update Needed,,JOINT,,,,,0.42716716151947043,0.08403288423333845,,3.341003920907482,0.023396182975729023,0.7006887679053125,,,0.2993112320946874,0.7006887679053126,2.341003920907482,CUR
Giza,Giza,EG,EG,National ID,Privilege,Professionals,Businessman,Private business,M,MR,37.33,2023-06-18,2023-06-18,2023-10-31,2023-06-25,2026-06-25,Normal,2023-06-18,660,4,MEDIUM,Low Risk Customer,Non-Borrower,EGP,B,36,900000.0,1220672.1816926096,320672.1816926096,33907.560602572485,AMORT,Demand,0,NO CHARGE,21.0,Personal Loan,Secured Personal Loans,NO RESTRICTION,,,MARRIED,,,,0.3563024241028996,0.11876747470096653,,3.806604536912164,0.03767506733619165,0.7372986896056247,,,0.2627013103943754,0.7372986896056246,2.806604536912164,CUR
Giza,Giza,EG,EG,National ID,Thahabi,"Others (Goodwife, Non Adult ...)",House Wife,Other,F,MRS,60.58,2019-05-22,2019-05-22,2023-10-31,2019-11-14,2025-04-29,Normal,2025-02-17,1635,5,LOW,Low Risk Customer,Non-Borrower,EGP,B,60,1350000.0,2271808.7857924234,921808.7857924234,37863.479763207055,AMORT,Monthly,0,NO CHARGE,22.75,Personal Loan,Secured Personal loan VAR-CD,NO RESTRICTION,50000.0,SEPARATE,MARRIED,45.43617571584847,0.7572695952641411,9.087235143169693,0.6828213228092025,0.1365642645618405,3.6872351431696937,2.4645119690842243,0.028047022046820042,0.594240152799264,0.45,0.7572695952641412,0.40575984720073605,0.5942401527992639,1.4645119690842243,PDO
Giza,Dakahlia,EG,EG,National ID,Thahabi,"Others (Goodwife, Non Adult ...)",Others,Other,F,MRS,37.45,2017-05-24,2017-05-24,2023-10-31,2022-10-10,2025-10-01,Normal,2022-10-12,776,5,LOW,Low Risk Customer,Non-Borrower,EGP,B,36,100000.0,122167.03439153168,22167.03439153168,3393.5287330981023,AMORT,Demand,0,NO CHARGE,13.5,Personal Loan,Secured Personal Loans,NO RESTRICTION,6000.0,,,20.361172398588614,0.565588122183017,6.787057466196204,0.22167034391531681,0.07389011463843893,1.2315019106406488,5.511203358722731,0.03393528733098102,0.8185514242697517,0.46296296296296297,0.565588122183017,0.18144857573024828,0.8185514242697518,4.511203358722731,PDO
Luxor,Luxor,EG,EG,National ID,Mass,"Others (Goodwife, Non Adult ...)",Employee,Salary,M,MR,34.2,2022-02-06,2022-02-06,2022-08-04,2022-02-07,2028-02-05,Normal,2022-02-06,163,4,MEDIUM,Low Risk Customer,Non-Borrower,EGP,A,72,120000.0,173440.26898368198,53440.26898368198,2408.8926247733607,AMORT,Demand,1,Admin Charge on LD Retail,13.0,Personal Loan,Per Loan sal-Salary-tr-Group deals,NO RESTRICTION,,,,,,,0.4453355748640165,0.07422259581066941,,3.2454976795989197,0.020074105206444672,0.6918808457987927,,,0.3081191542012073,0.6918808457987927,2.2454976795989197,CUR
Giza,Giza,EG,EG,National ID,Thahabi,"Others (Goodwife, Non Adult ...)",Employee,Salary,M,MR,48.21,2013-05-13,2013-05-13,2024-07-31,2022-09-27,2025-09-27,Normal,2023-11-22,1183,5,LOW,Low Risk Customer,Non-Borrower,EGP,B,36,130000.0,158817.1447089912,28817.1447089912,4411.587353027533,AMORT,Demand,0,NO CHARGE,13.5,Personal Loan,Secured Personal Loans,Post No Debits,,,,,,,0.22167034391531693,0.07389011463843898,,5.511203358722728,0.03393528733098102,0.8185514242697518,,,0.18144857573024833,0.8185514242697517,4.511203358722728,PDO
Giza,Giza,EG,EG,National ID,Mass,"Others (Goodwife, Non Adult ...)",Retired,Other,M,MR,56.42,2016-05-08,2016-05-08,2024-07-31,2023-05-29,2026-01-10,Normal,2021-03-02,187,5,LOW,Low Risk Customer,Low Risk,EGP,B,32,26000.0,33134.4555286797,7134.455528679697,1035.4517352712403,AMORT,Demand,0,NO CHARGE,18.5,Personal Loan,Secured Personal Loans,ID Update Needed,,,,,,,0.27440213571844985,0.1029008008944187,,4.644286504482784,0.03982506674120155,0.7846816730546718,,,0.21531832694532832,0.7846816730546716,3.6442865044827832,PDO
Cairo,Cairo,EG,EG,National ID,Privilege,Professionals,Businessman,Private business,M,MR,47.06,2022-12-05,2022-12-05,2024-07-31,2024-04-04,2027-04-04,Normal,2022-12-05,465,4,MEDIUM,Low Risk Customer,Non-Borrower,EGP,B,36,60000.0,89345.34936769657,29345.349367696574,2481.815260213794,AMORT,Demand,0,NO CHARGE,28.000000000000004,Personal Loan,Secured Personal Loans,NO RESTRICTION,,,,,,,0.48908915612827625,0.1630297187094254,,3.0446169935890466,0.0413635876702299,0.671551462103224,,,0.3284485378967759,0.671551462103224,2.0446169935890466,PDO
Menoufia,Menoufia,EG,EG,National ID,Mass,"Others (Goodwife, Non Adult ...)",Employee,Salary,M,MR,28.96,2021-12-19,2021-12-19,2022-09-01,2021-12-23,2041-12-01,Normal,2021-12-19,479,5,LOW,Low Risk Customer,Non-Borrower,EGP,A,240,184954.0,344147.1344122874,159193.1344122874,1433.946393384531,AMORT,Demand,1,Stamp Duty,7.000000000000001,Mortgage Loan,Mort Loan-CBE low incom 7%,NO RESTRICTION,10760.0,,,31.98393442493377,0.13326639343722407,1.5991967212466887,0.8607174454852958,0.043035872274264794,0.7397450483842352,2.161821460974539,0.007752989356188733,0.5374271104010576,0.07162097273853779,0.13326639343722405,0.46257288959894244,0.5374271104010576,1.1618214609745394,CUR
